DATE,PLAYER_NAME,OWN_TEAM,OPP_TEAM,VENUE,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
2017-10-17,Jaylen Brown,BOS,CLE,R,39.6,.523,.522,.391,.087,2.4,13.2,7.6,0.0,2.4,0.0,11.2,29.9,89,104
2017-10-17,Kyrie Irving,BOS,CLE,R,39.35,.615,.588,.529,.118,4.9,5.3,5.1,46.5,3.7,0.0,10.1,22.2,124,103
2017-10-17,Jayson Tatum,BOS,CLE,R,36.53333333333333,.526,.458,.167,.250,10.5,17.1,13.7,13.4,0.0,0.0,7.0,17.3,115,108
2017-10-17,Al Horford,BOS,CLE,R,32.11666666666667,.446,.286,.286,1.000,0.0,22.7,10.9,22.6,0.0,2.5,0.0,13.8,111,105
2017-10-17,Gordon Hayward,BOS,CLE,R,5.25,.500,.500,.500,.000,0.0,19.9,9.5,0.0,0.0,0.0,0.0,16.8,95,107
2017-10-17,Marcus Smart,BOS,CLE,R,35.05,.346,.313,.250,.188,0.0,26.8,12.8,14.1,2.8,4.5,10.4,24.3,70,96
2017-10-17,Terry Rozier,BOS,CLE,R,19.533333333333335,.580,.417,.500,.667,0.0,16.0,7.7,15.8,9.9,0.0,0.0,17.5,129,87
2017-10-17,Aron Baynes,BOS,CLE,R,19.1,.798,1.000,.000,2.000,10.1,16.4,13.1,8.1,0.0,4.1,34.7,13.3,110,105
2017-10-17,Semi Ojeleye,BOS,CLE,R,8.65,.000,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,0,112
2017-10-17,Shane Larkin,BOS,CLE,R,4.816666666666666,.000,.000,1.000,.000,0.0,21.7,10.4,0.0,0.0,0.0,0.0,9.1,0,107
2017-10-17,Team Totals,BOS,CLE,R,240.0,.500,.455,.364,.284,18.0,80.4,47.9,66.7,11.1,6.6,9.2,100.0,99.7,102.7
2017-10-17,LeBron James,CLE,BOS,H,41.2,.698,.658,.263,.211,2.5,35.0,19.4,43.7,0.0,4.2,16.2,26.0,126,94
2017-10-17,Jae Crowder,CLE,BOS,H,34.733333333333334,.468,.350,.500,.400,3.0,11.1,7.2,8.2,2.8,0.0,7.8,15.9,100,98
2017-10-17,Derrick Rose,CLE,BOS,H,31.25,.444,.393,.214,.286,3.3,9.2,6.4,10.1,0.0,0.0,11.3,24.6,88,105
