DATE,PLAYER_NAME,OWN_TEAM,OPP_TEAM,VENUE,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,USG%,PACE
2017-10-17,Jaylen Brown,BOS,CLE,R,39.6,11,23,.478,2,9,.222,1,2,.500,1,5,6,0,2,0,3,5,25,-5,29.9,99.3
2017-10-17,Kyrie Irving,BOS,CLE,R,39.35,8,17,.471,4,9,.444,2,2,1.000,2,2,4,10,3,0,2,4,22,-1,22.2,99.3
2017-10-17,Jayson Tatum,BOS,CLE,R,36.53333333333333,5,12,.417,1,2,.500,3,3,1.000,4,6,10,3,0,0,1,4,14,+6,17.3,99.3
2017-10-17,Al Horford,BOS,CLE,R,32.11666666666667,2,7,.286,0,2,.000,5,7,.714,0,7,7,5,0,1,0,2,9,+8,13.8,99.3
2017-10-17,Gordon Hayward,BOS,CLE,R,5.25,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,1,2,+3,16.8,99.3
2017-10-17,Marcus Smart,BOS,CLE,R,35.05,5,16,.313,0,4,.000,2,3,.667,0,9,9,3,2,2,2,2,12,-8,24.3,99.3
2017-10-17,Terry Rozier,BOS,CLE,R,19.533333333333335,2,6,.333,1,3,.333,4,4,1.000,0,3,3,2,4,0,0,0,9,+4,17.5,99.3
2017-10-17,Aron Baynes,BOS,CLE,R,19.1,2,2,1.000,0,0,,2,4,.500,2,3,5,1,0,1,2,5,6,-14,13.3,99.3
2017-10-17,Semi Ojeleye,BOS,CLE,R,8.65,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-10,10.2,99.3
2017-10-17,Shane Larkin,BOS,CLE,R,4.816666666666666,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,+2,9.1,99.3
2017-10-17,Team Totals,BOS,CLE,R,240.0,36,88,.409,8,32,.250,19,25,.760,9,37,46,24,11,4,10,24,99,,100.0,99.3
2017-10-17,LeBron James,CLE,BOS,H,41.2,12,19,.632,1,5,.200,4,4,1.000,1,15,16,9,0,2,4,3,29,+2,26.0,99.3
2017-10-17,Jae Crowder,CLE,BOS,H,34.733333333333334,3,10,.300,1,5,.200,4,4,1.000,1,4,5,2,2,0,1,2,11,+7,15.9,99.3
2017-10-17,Derrick Rose,CLE,BOS,H,31.25,5,14,.357,1,3,.333,3,4,.750,1,3,4,2,0,0,2,2,14,-7,24.6,99.3
2017-10-17,Dwyane Wade,CLE,BOS,H,28.5,3,10,.300,0,1,.000,2,2,1.000,1,1,2,3,0,2,4,1,8,0,22.6,99.3
2017-10-17,Kevin Love,CLE,BOS,H,28.4,4,9,.444,1,4,.250,6,7,.857,3,8,11,0,0,0,2,2,15,+1,21.4,99.3
2017-10-17,J.R. Smith,CLE,BOS,H,21.916666666666668,4,7,.571,1,3,.333,1,1,1.000,0,4,4,1,0,0,0,4,10,+7,14.7,99.3
2017-10-17,Tristan Thompson,CLE,BOS,H,19.6,2,3,.667,0,0,,1,3,.333,1,5,6,2,0,0,2,3,5,+2,13.9,99.3
2017-10-17,Jeff Green,CLE,BOS,H,14.233333333333333,3,8,.375,0,1,.000,0,0,,0,0,0,0,0,0,1,3,6,-2,27.3,99.3
2017-10-17,Iman Shumpert,CLE,BOS,H,12.85,2,3,.667,0,0,,0,0,,1,1,2,0,1,0,1,3,4,+6,13.5,99.3
2017-10-17,Kyle Korver,CLE,BOS,H,7.316666666666666,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-1,0.0,99.3
2017-10-17,Team Totals,CLE,BOS,H,240.0,38,83,.458,5,22,.227,21,25,.840,9,41,50,19,3,4,17,25,102,,100.0,99.3
2017-10-17,Trevor Ariza,HOU,GSW,R,37.65,3,9,.333,2,5,.400,0,0,,1,5,6,5,2,0,1,2,8,-8,10.9,102.0
2017-10-17,James Harden,HOU,GSW,R,36.4,10,23,.435,4,9,.444,3,4,.750,1,5,6,11,1,0,3,2,27,+1,31.2,102.0
2017-10-17,Ryan Anderson,HOU,GSW,R,33.28333333333333,5,12,.417,3,8,.375,0,0,,3,5,8,1,1,1,0,3,13,+8,14.7,102.0
2017-10-17,Chris Paul,HOU,GSW,R,33.06666666666667,2,9,.222,0,4,.000,0,0,,1,7,8,10,2,1,1,4,4,-13,12.4,102.0
2017-10-17,Clint Capela,HOU,GSW,R,18.166666666666668,6,10,.600,0,0,,0,1,.000,1,3,4,0,1,1,2,0,12,-23,28.0,102.0
2017-10-17,Eric Gordon,HOU,GSW,R,29.383333333333333,9,16,.563,0,6,.000,6,8,.750,0,1,1,1,1,2,2,1,24,+16,30.0,102.0
2017-10-17,P.J. Tucker,HOU,GSW,R,28.666666666666668,6,9,.667,4,6,.667,4,6,.667,1,5,6,0,1,0,1,3,20,+20,18.0,102.0
2017-10-17,Luc Mbah a Moute,HOU,GSW,R,23.383333333333333,6,9,.667,2,3,.667,0,0,,2,2,4,0,0,0,2,1,14,+4,19.2,102.0
2017-10-17,Team Totals,HOU,GSW,R,240.0,47,97,.485,15,41,.366,13,19,.684,10,33,43,28,9,5,12,16,122,,100.0,102.0
2017-10-17,Klay Thompson,GSW,HOU,H,38.15,6,14,.429,4,7,.571,0,0,,0,6,6,3,2,2,1,0,16,0,17.8,102.0
2017-10-17,Kevin Durant,GSW,HOU,H,37.63333333333333,7,15,.467,2,5,.400,4,5,.800,1,4,5,7,0,4,8,4,20,+11,30.3,102.0
2017-10-17,Stephen Curry,GSW,HOU,H,29.55,8,18,.444,3,9,.333,3,3,1.000,0,5,5,4,1,0,2,4,22,+9,32.6,102.0
2017-10-17,Draymond Green,GSW,HOU,H,27.65,2,6,.333,1,2,.500,4,4,1.000,1,10,11,13,0,0,2,3,9,+7,15.9,102.0
2017-10-17,Zaza Pachulia,GSW,HOU,H,10.233333333333333,2,2,1.000,0,0,,2,2,1.000,0,3,3,0,0,1,0,1,6,+8,12.7,102.0
2017-10-17,Nick Young,GSW,HOU,H,26.166666666666668,8,9,.889,6,7,.857,1,1,1.000,1,1,2,0,0,0,1,4,23,-10,18.0,102.0
2017-10-17,Patrick McCaw,GSW,HOU,H,18.65,2,3,.667,0,0,,0,0,,1,2,3,1,1,1,0,1,4,-9,7.3,102.0
2017-10-17,Shaun Livingston,GSW,HOU,H,18.55,2,5,.400,0,0,,2,2,1.000,1,0,1,5,0,0,1,2,6,-8,16.8,102.0
2017-10-17,Jordan Bell,GSW,HOU,H,11.766666666666667,4,5,.800,0,0,,0,0,,0,1,1,1,0,0,1,4,8,-2,23.0,102.0
2017-10-17,David West,GSW,HOU,H,9.416666666666666,2,3,.667,0,0,,0,0,,1,0,1,0,0,1,1,0,4,0,19.2,102.0
2017-10-17,Kevon Looney,GSW,HOU,H,7.766666666666667,0,0,,0,0,,1,2,.500,0,2,2,0,1,0,0,2,1,-7,5.1,102.0
2017-10-17,Omri Casspi,GSW,HOU,H,4.466666666666667,0,0,,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,2,-4,8.9,102.0
2017-10-17,Team Totals,GSW,HOU,H,240.0,43,80,.538,16,30,.533,19,21,.905,6,35,41,34,5,9,17,25,121,,100.0,102.0
2017-10-18,Khris Middleton,MIL,BOS,R,43.43333333333333,6,17,.353,1,5,.200,2,2,1.000,2,7,9,6,2,0,5,4,15,+10,24.3,97.9
2017-10-18,Malcolm Brogdon,MIL,BOS,R,41.43333333333333,6,10,.600,3,5,.600,4,4,1.000,0,1,1,4,0,0,2,2,19,+10,15.3,97.9
2017-10-18,Giannis Antetokounmpo,MIL,BOS,R,36.93333333333333,13,22,.591,0,1,.000,11,13,.846,1,12,13,3,3,0,5,4,37,+7,40.8,97.9
2017-10-18,Tony Snell,MIL,BOS,R,29.483333333333334,2,4,.500,1,3,.333,0,0,,0,4,4,1,0,0,0,4,5,-4,6.2,97.9
2017-10-18,Thon Maker,MIL,BOS,R,13.75,1,4,.250,0,1,.000,0,0,,2,1,3,0,1,0,1,1,2,-7,16.8,97.9
2017-10-18,Matthew Dellavedova,MIL,BOS,R,26.483333333333334,4,10,.400,2,4,.500,5,5,1.000,0,1,1,1,0,0,1,2,15,+8,23.0,97.9
2017-10-18,John Henson,MIL,BOS,R,17.216666666666665,2,2,1.000,0,0,,1,2,.500,0,6,6,2,0,4,1,2,5,+7,10.4,97.9
2017-10-18,Greg Monroe,MIL,BOS,R,16.816666666666666,4,5,.800,0,0,,2,4,.500,1,5,6,1,0,0,0,3,10,+9,18.5,97.9
2017-10-18,Mirza Teletovic,MIL,BOS,R,11.05,0,2,.000,0,2,.000,0,0,,0,2,2,1,0,0,0,0,0,0,8.3,97.9
2017-10-18,Rashad Vaughn,MIL,BOS,R,3.4,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,97.9
2017-10-18,Team Totals,MIL,BOS,R,240.0,38,76,.500,7,21,.333,25,30,.833,6,39,45,19,6,4,15,22,108,,100.0,97.9
2017-10-18,Kyrie Irving,BOS,MIL,H,38.93333333333333,7,25,.280,2,7,.286,1,2,.500,1,3,4,3,3,0,3,1,17,-2,31.7,97.9
2017-10-18,Jayson Tatum,BOS,MIL,H,36.53333333333333,3,7,.429,0,1,.000,2,5,.400,2,7,9,2,1,0,2,3,8,-15,13.1,97.9
2017-10-18,Al Horford,BOS,MIL,H,33.45,6,11,.545,0,2,.000,1,1,1.000,1,5,6,4,3,2,2,3,13,+1,17.2,97.9
2017-10-18,Marcus Smart,BOS,MIL,H,32.333333333333336,4,13,.308,3,7,.429,1,6,.167,3,4,7,4,3,0,3,4,12,-4,24.7,97.9
2017-10-18,Jaylen Brown,BOS,MIL,H,28.15,6,11,.545,2,3,.667,4,5,.800,1,4,5,3,0,0,0,6,18,0,20.1,97.9
